営業部（営業課）,,リミット,,,,,,
等級,給料額,一般,副主任,主任,係長,課長,次長,部長
1,250000,○,○,○,○,○,,
2,251500,○,○,○,○,○,,
3,253000,○,○,○,○,○,,
4,254500,○,○,○,○,○,,
5,256000,○,○,○,○,○,,
6,257500,○,○,○,○,○,,
7,259000,○,○,○,○,○,,
8,260500,○,○,○,○,○,,
9,262000,○,○,○,○,○,,
10,263500,○,○,○,○,○,,
11,265000,○,○,○,○,○,,
12,266500,○,○,○,○,○,,
13,268000,○,○,○,○,○,,
14,269500,○,○,○,○,○,,
15,271000,○,○,○,○,○,,
16,272500,○,○,○,○,○,,
17,274000,○,○,○,○,○,,
18,275500,○,○,○,○,○,,
19,277000,○,○,○,○,○,,
20,278500,○,○,○,○,○,,
21,280000,○,○,○,○,○,,
22,281500,○,○,○,○,○,,
23,283000,○,○,○,○,○,,
24,284500,○,○,○,○,○,,
25,286000,○,○,○,○,○,,
26,287500,○,○,○,○,○,,
27,289000,○,○,○,○,○,,
28,290500,○,○,○,○,○,,
29,292000,○,○,○,○,○,,
30,293500,○,○,○,○,○,,
31,295000,○,○,○,○,○,,
32,296500,○,○,○,○,○,,
33,298000,○,○,○,○,○,,
34,299500,○,○,○,○,○,,
35,301000,○,○,○,○,○,,
36,302500,○,○,○,○,○,,
37,304000,○,○,○,○,○,,
38,305500,○,○,○,○,○,,
39,307000,○,○,○,○,○,,
40,308500,○,○,○,○,○,○,○
41,310000,○,○,○,○,○,○,○
42,311500,○,○,○,○,○,○,○
43,313000,○,○,○,○,○,○,○
44,314500,○,○,○,○,○,○,○
45,316000,○,○,○,○,○,○,○
46,317500,○,○,○,○,○,○,○
47,319000,○,○,○,○,○,○,○
48,320500,○,○,○,○,○,○,○
49,322000,○,○,○,○,○,○,○
50,323500,○,○,○,○,○,○,○
51,325000,,○,○,○,○,○,○
52,326500,,○,○,○,○,○,○
53,328000,,○,○,○,○,○,○
54,329500,,○,○,○,○,○,○
55,331000,,○,○,○,○,○,○
56,332500,,○,○,○,○,○,○
57,334000,,○,○,○,○,○,○
58,335500,,○,○,○,○,○,○
59,337000,,○,○,○,○,○,○
60,338500,,○,○,○,○,○,○
61,340000,,○,○,○,○,○,○
62,341500,,○,○,○,○,○,○
63,343000,,○,○,○,○,○,○
64,344500,,○,○,○,○,○,○
65,346000,,○,○,○,○,○,○
66,347500,,○,○,○,○,○,○
67,349000,,○,○,○,○,○,○
68,350500,,○,○,○,○,○,○
69,352000,,○,○,○,○,○,○
70,353500,,○,○,○,○,○,○
71,355000,,,○,○,○,○,○
72,356500,,,○,○,○,○,○
73,358000,,,○,○,○,○,○
74,359500,,,○,○,○,○,○
75,361000,,,○,○,○,○,○
76,362500,,,○,○,○,○,○
77,364000,,,○,○,○,○,○
78,365500,,,○,○,○,○,○
79,367000,,,○,○,○,○,○
80,368500,,,○,○,○,○,○
81,370000,,,,○,○,○,○
82,371500,,,,○,○,○,○
83,373000,,,,○,○,○,○
84,374500,,,,○,○,○,○
85,376000,,,,○,○,○,○
86,377500,,,,○,○,○,○
87,379000,,,,○,○,○,○
88,380500,,,,○,○,○,○
89,382000,,,,○,○,○,○
90,383500,,,,○,○,○,○
91,385000,,,,,○,○,○
92,386500,,,,,○,○,○
93,388000,,,,,○,○,○
94,389500,,,,,○,○,○
95,391000,,,,,○,○,○
96,392500,,,,,○,○,○
97,394000,,,,,○,○,○
98,395500,,,,,○,○,○
99,397000,,,,,○,○,○
100,398500,,,,,○,○,○
101,400000,,,,,,○,○
102,401500,,,,,,○,○
103,403000,,,,,,○,○
104,404500,,,,,,○,○
105,406000,,,,,,○,○
106,407500,,,,,,○,○
107,409000,,,,,,○,○
108,410500,,,,,,○,○
109,412000,,,,,,○,○
110,413500,,,,,,○,○
111,415000,,,,,,○,○
112,416500,,,,,,○,○
113,418000,,,,,,○,○
114,419500,,,,,,○,○
115,421000,,,,,,○,○
116,422500,,,,,,○,○
117,424000,,,,,,○,○
118,425500,,,,,,○,○
119,427000,,,,,,○,○
120,428500,,,,,,○,○
121,430000,,,,,,○,○
122,431500,,,,,,○,○
123,433000,,,,,,○,○
124,434500,,,,,,○,○
125,436000,,,,,,○,○
126,437500,,,,,,○,○
127,439000,,,,,,○,○
128,440500,,,,,,○,○
129,442000,,,,,,○,○
130,443500,,,,,,○,○
131,445000,,,,,,○,○
132,446500,,,,,,○,○
133,448000,,,,,,○,○
134,449500,,,,,,○,○
135,451000,,,,,,○,○
136,452500,,,,,,○,○
137,454000,,,,,,○,○
138,455500,,,,,,○,○
139,457000,,,,,,○,○
140,458500,,,,,,○,○
141,460000,,,,,,○,○
142,461500,,,,,,○,○
143,463000,,,,,,○,○
144,464500,,,,,,○,○
145,466000,,,,,,○,○
146,467500,,,,,,○,○
147,469000,,,,,,○,○
148,470500,,,,,,○,○
149,472000,,,,,,○,○
150,473500,,,,,,○,○
151,475000,,,,,,○,○
152,476500,,,,,,○,○
153,478000,,,,,,○,○
154,479500,,,,,,○,○
155,481000,,,,,,○,○
156,482500,,,,,,○,○
157,484000,,,,,,○,○
158,485500,,,,,,○,○
159,487000,,,,,,○,○
160,488500,,,,,,○,○
161,490000,,,,,,○,○
162,491500,,,,,,○,○
163,493000,,,,,,○,○
164,494500,,,,,,○,○
165,496000,,,,,,○,○
166,497500,,,,,,○,○
167,499000,,,,,,○,○
168,500500,,,,,,○,○
169,502000,,,,,,○,○
170,503500,,,,,,○,○
171,505000,,,,,,○,○
172,506500,,,,,,○,○
173,508000,,,,,,○,○
174,509500,,,,,,○,○
175,511000,,,,,,○,○
